book_id,openlibrary_work_key,title,author,description,tags,primary_source_tag,publication_year,page_count,rating_count,average_rating,cover_url,edition_count,language,source
fixture-001,/works/OL45804W,The Hobbit,J. R. R. Tolkien,A reluctant hobbit joins a company of dwarves on a dangerous quest involving treasure trolls elves and a dragon.,fantasy|adventure|classic|quest|middle earth,fantasy,1937,310,12000,4.3,,120,eng,offline_fixture
fixture-002,/works/OL27448W,The Lord of the Rings,J. R. R. Tolkien,An epic fantasy about friendship sacrifice power and a journey to destroy a dangerous ring.,fantasy|adventure|classic|epic fantasy|middle earth,fantasy,1954,1178,18000,4.5,,200,eng,offline_fixture
fixture-003,/works/OL262758W,Dune,Frank Herbert,A desert planet becomes the center of politics religion ecology and a young heir's rise to power.,science fiction|classic|politics|space opera|ecology,science fiction,1965,412,15000,4.2,,140,eng,offline_fixture
fixture-004,/works/OL66554W,Neuromancer,William Gibson,A washed up hacker is hired for a dangerous job in a gritty cyberpunk future shaped by artificial intelligence.,science fiction|cyberpunk|technology|classic|artificial intelligence,science fiction,1984,271,9000,3.9,,80,eng,offline_fixture
fixture-005,/works/OL1098539W,Foundation,Isaac Asimov,A mathematician develops psychohistory to preserve knowledge as a galactic empire collapses.,science fiction|classic|space opera|future history|empire,science fiction,1951,255,8500,4.1,,70,eng,offline_fixture
fixture-006,/works/OL82563W,Pride and Prejudice,Jane Austen,A witty social novel about manners misunderstanding family pressure and romantic judgment.,classic|romance|literary fiction|social satire|regency,romance,1813,279,16000,4.3,,180,eng,offline_fixture
fixture-007,/works/OL102749W,Jane Eyre,Charlotte Bronte,A governess seeks independence love and moral clarity while confronting secrets in a remote estate.,classic|romance|gothic fiction|literary fiction|coming of age,romance,1847,500,11000,4.1,,150,eng,offline_fixture
fixture-008,/works/OL66534W,1984,George Orwell,A dystopian novel about surveillance propaganda state power and the struggle to think freely.,dystopian|classic|politics|science fiction|surveillance,science fiction,1949,328,17000,4.2,,170,eng,offline_fixture
fixture-009,/works/OL34342W,Brave New World,Aldous Huxley,A futuristic society trades freedom and depth for comfort engineered stability and consumer pleasure.,dystopian|classic|science fiction|society|technology,science fiction,1932,288,13000,4.0,,130,eng,offline_fixture
fixture-010,/works/OL819350W,The Handmaid's Tale,Margaret Atwood,A woman navigates survival memory and resistance inside a theocratic dystopian society.,dystopian|literary fiction|feminist fiction|speculative fiction|politics,science fiction,1985,311,14000,4.1,,90,eng,offline_fixture
fixture-011,/works/OL47280W,The Name of the Rose,Umberto Eco,A medieval murder mystery unfolds inside a monastery full of secrets books and theological conflict.,mystery|historical fiction|literary fiction|classic|monastery,mystery,1980,512,7000,4.0,,70,eng,offline_fixture
fixture-012,/works/OL148521W,The Hound of the Baskervilles,Arthur Conan Doyle,Sherlock Holmes investigates a family curse a moor and a terrifying hound legend.,mystery|classic|detective fiction|crime|sherlock holmes,mystery,1902,256,10000,4.0,,150,eng,offline_fixture
fixture-013,/works/OL81713W,Murder on the Orient Express,Agatha Christie,Hercule Poirot investigates a murder among passengers trapped on a snowbound luxury train.,mystery|classic|detective fiction|crime|locked room,mystery,1934,256,12500,4.2,,160,eng,offline_fixture
